Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance @ Vr, F","Capacitance Ratio","Capacitance Ratio Condition","Voltage - Peak Reverse (Max)","Diode Type","Q @ Vr, F","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"https://www.skyworksinc.com:443/search?q=smv2019_to_smv2023_series_200074q#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1740-2-ND,863-1740-1-ND,863-1740-6-ND","SMV2020-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","2,950","1.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","0.43pF @ 20V, 50MHz","2.8","C4/C20","22 V","Single","500 @ 4V, 50MHz","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"https://www.skyworksinc.com:443/search?q=smv1470_004lf_200069h#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SOT23-3;;3.jpg","863-1734-2-ND,863-1734-1-ND,863-1734-6-ND","SMV1470-004LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","4,824","1.49","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","14.8pF @ 4.5V, 1MHz","6","C1/C5","10 V","1 Pair Common Cathode","-","-55°C ~ 125°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
"https://www.skyworksinc.com/-/media/SkyWorks/Documents/Products/2001-2100/SMVA1470_004LF_203206C.pdf","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SOT23-3;;3.jpg","863-1751-2-ND,863-1751-1-ND,863-1751-6-ND","SMVA1470-004LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","3,214","1.59","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","14.8pF @ 4.5V, 1MHz","6","C1/C5","10 V","1 Pair Common Cathode","-","-55°C ~ 125°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"https://www.skyworksinc.com:443/404-ErrorPage?item=%2fuploads%2fdocuments%2fsmv123x_series_200058w&user=extranet%5cAnonymous&site=SkyworksInc","//media.digikey.com/Photos/Skyworks%20Solutions%20Photos/SMP1340-074LF.jpg","863-1711-2-ND,863-1711-1-ND,863-1711-6-ND","SMV1231-074LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","11,640","1.62","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","0.61pF @ 6V, 50MHz","2.8","C1/C6","15 V","1 Pair Common Cathode","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-70, SOT-323","SC-70-3"
"https://www.nxp.com/docs/en/data-sheet/BB201.pdf","//media.digikey.com/Renders/NXP%20Semi%20Renders/568;SOT23;ARL,ASL;3.jpg","568-1952-2-ND,568-1952-1-ND,568-1952-6-ND","BB201,215","NXP USA Inc.","NXP USA Inc.","DIODE VAR CAP DUAL 15V SOT-23","3,798","1.07","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","25.5pF @ 8V, 1MHz","3.8","C1/C7.5","15 V","1 Pair Common Cathode","-","-55°C ~ 125°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","TO-236AB (SOT23)"
"https://www.nxp.com/docs/en/data-sheet/BB181.pdf","//media.digikey.com/renders/NXP%20Semi%20Renders/SOD-523%20(1-1G1A,%20SC-79).jpg","568-1948-2-ND,568-1948-1-ND,568-1948-6-ND","BB181,115","NXP USA Inc.","NXP USA Inc.","DIODE VHF VAR CAP 30V SOD523","5,310","0.62","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","1.055pF @ 28V, 1MHz","16","C0.5/C28","30 V","Single","-","-55°C ~ 150°C (TJ)","Surface Mount","SC-79, SOD-523","SOD-523"
"https://www.skyworksinc.com:443/search?q=smv1272_079lf_202934b#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1727-2-ND,863-1727-1-ND,863-1727-6-ND","SMV1272-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","28,190","0.57","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","6pF @ 4V, 1MHz","3","C1/C4","15 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"https://www.nxp.com/docs/en/data-sheet/BB172.pdf","//media.digikey.com/Renders/NXP%20Semi%20Renders/SC-76,SOD-323.jpg","568-11993-2-ND,568-11993-1-ND,568-11993-6-ND","BB172X","NXP USA Inc.","NXP USA Inc.","DIODE VHF VAR CAP 32V SOD323","14,494","0.68","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2.754pF @ 28V, 1MHz","15","C1/C28","32 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-76, SOD-323","SOD-323"
"https://www.nxp.com/docs/en/data-sheet/BB173.pdf","//media.digikey.com/renders/NXP%20Semi%20Renders/SOD-523%20(1-1G1A,%20SC-79).jpg","568-12522-2-ND,568-12522-1-ND,568-12522-6-ND","BB173X","NXP USA Inc.","NXP USA Inc.","DIODE VHF VAR CAP 32V SOD523","4,562","0.69","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2.754pF @ 28V, 1MHz","15","C1/C28","32 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SOD-523"
"http://cdn.macom.com/datasheets/MA46%20Series.pdf","//media.digikey.com/Photos/MACom%20Technology%20Solutions/1056.JPG","1465-1013-ND","MA46H202-1056","MACOM Technology Solutions","MACOM Technology Solutions","DIODE VARACTOR DUAL GAAS","109","30.5599","0","100","Bulk","-","Active","3.3pF @ 4V, 1MHz","5.6","C2/C20","22 V","Single","2000 @ 4V, 50MHz","-65°C ~ 150°C (TJ)","Surface Mount","2-SMD","-"
"https://toshiba.semicon-storage.com/info/docget.jsp?did=2830&prodName=1SV305","//media.digikey.com/Renders/Toshiba%20Renders/SC-79,%20SOD-523.jpg","264-1SV305L3FTR-ND,264-1SV305L3FCT-ND,264-1SV305L3FDKR-ND","1SV305,L3F","Toshiba Semiconductor and Storage","Toshiba Semiconductor and Storage","DIODE VARACTOR 10V ESC","39,817","0.62","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","6.6pF @ 4V, 1MHz","3","C1/C4","10 V","Single","-","125°C (TJ)","Surface Mount","SC-79, SOD-523","ESC"
"https://rocelec.widen.net/view/pdf/nomeeky3jb/INFNS15711-1.pdf?t.download=true&u=5oefqw","//media.digikey.com/Photos/Rochester/MFG_BZB84-B20215.jpg","BB844E6327HTSA1TR-ND,448-BB844E6327HTSA1CT-ND,448-BB844E6327HTSA1DKR-ND","BB844E6327HTSA1","Infineon Technologies","Infineon Technologies","DIODE VARACTOR 18V DUAL SOT23-3","10,783","0.56","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","13pF @ 8V, 1MHz","3.8","C2/C8","18 V","1 Pair Common Cathode","-","-55°C ~ 150°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
"https://rocelec.widen.net/view/pdf/5jzt00yya4/INFNS15712-1.pdf?t.download=true&u=5oefqw","//media.digikey.com/Photos/Rochester/MFG_BZB84-B20215.jpg","BB914E6327HTSA1TR-ND,448-BB914E6327HTSA1CT-ND,448-BB914E6327HTSA1DKR-ND","BB914E6327HTSA1","Infineon Technologies","Infineon Technologies","DIODE VARACTOR 18V DUAL SOT23-3","4,614","0.68","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","19.75pF @ 8V, 1MHz","2.42","C2/C8","18 V","1 Pair Common Cathode","-","-55°C ~ 125°C (TJ)","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23-3"
"https://rocelec.widen.net/view/pdf/9q2e7vhxo4/INFNS15715-1.pdf?t.download=true&u=5oefqw","//media.digikey.com/Photos/Rochester/MFG_PMEG2015EA115.jpg","BBY5303WE6327HTSA1TR-ND,448-BBY5303WE6327HTSA1CT-ND,448-BBY5303WE6327HTSA1DKR-ND","BBY5303WE6327HTSA1","Infineon Technologies","Infineon Technologies","DIODE VARACTOR 6V SGL SOD323-2","6,000","0.76","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","3.1pF @ 3V, 1MHz","2.6","C1/C3","6 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-76, SOD-323","PG-SOD323-2"
"https://www.skyworksinc.com:443/404-ErrorPage?item=%2fuploads%2fdocuments%2fsmv121x_series_200057t&user=extranet%5cAnonymous&site=SkyworksInc","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1708-2-ND,863-1708-1-ND,863-1708-6-ND","SMV1213-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","3,000","1.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","5.5pF @ 4V, 50MHz","5","C1/C4","12 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"//media.digikey.com/pdf/Data%20Sheets/Skyworks%20PDFs/SMV1247-55_Series_9-12-19.pdf","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1137-2-ND,863-1137-1-ND,863-1137-6-ND","SMV1249-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR 15V 20MA SC-79","53,339","1.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2.8pF @ 4.7V, 50MHz","12.1","C0.3/C4.7","15 V","Single","600 @ 3V, 50MHz","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"https://www.skyworksinc.com:443/search?q=smv1129_079lf_200054l#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1703-2-ND,863-1703-1-ND,863-1703-6-ND","SMV1129-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","VARACTOR JUNCTION TUNING","3,000","1.36","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","-","2.5","C1/C6","12 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"-","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MADP-007448-0287FT.jpg","1465-MAVR-000082-0287ATCT-ND,1465-MAVR-000082-0287ATDKR-ND,1465-MAVR-000082-0287ATTR-ND","MAVR-000082-0287AT","MACOM Technology Solutions","MACOM Technology Solutions","VARACTOR, PLASTIC, LEAD-FREE, SO","3,000","2.15","0","1","Cut Tape (CT),Digi-Reel®,Tray","-","Active","1.8pF @ 8V, 1MHz","8.2","C1/C8","12 V","Single","350 @ 4V, 50MHz","-65°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"-","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MADP-007448-0287FT.jpg","1465-MAVR-045441-0287ATCT-ND,1465-MAVR-045441-0287ATDKR-ND,1465-MAVR-045441-0287ATTR-ND","MAVR-045441-0287AT","MACOM Technology Solutions","MACOM Technology Solutions","LEAD-FREE,VARACTOR,ABRUPT,SINGLE","3,000","2.15","0","1","Cut Tape (CT),Digi-Reel®,Tray","-","Active","13.2pF @ 4V, 1MHz","4.6","C0/C30","30 V","Single","1200 @ 4V, 1MHz","-55°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"-","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MAVR-001320-11410T.jpg","1465-MAVR-000250-11410TCT-ND,1465-MAVR-000250-11410TDKR-ND,1465-MAVR-000250-11410TTR-ND","MAVR-000250-11410T","MACOM Technology Solutions","MACOM Technology Solutions","DIODE,VARACTOR,PB-FREE MA4ST250","3,000","2.15","0","1","Cut Tape (CT),Digi-Reel®,Tray","-","Active","1.8pF @ 4V, 1MHz","3.5","C0.5/C4","12 V","Single","450 @ 2V, 50MHz","-55°C ~ 125°C","Surface Mount","SC-76, SOD-323","SOD-323"
"-","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MAVR-001320-11410T.jpg","1465-MA4ST1241-1141TCT-ND,1465-MA4ST1241-1141TDKR-ND,1465-MA4ST1241-1141TTR-ND","MA4ST1241-1141T","MACOM Technology Solutions","MACOM Technology Solutions","DIODE,VARACTOR,SI PLASTIC PB-FRE","3,000","2.15","0","1","Cut Tape (CT),Digi-Reel®,Tray","-","Active","2.05pF @ 4V, 1MHz","3.46","C0.5/C4","12 V","Single","-","-55°C ~ 125°C","Surface Mount","SC-76, SOD-323","SOD-323"
"-","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MAVR-001320-11410T.jpg","1465-MAVR-000240-11410TCT-ND,1465-MAVR-000240-11410TDKR-ND,1465-MAVR-000240-11410TTR-ND","MAVR-000240-11410T","MACOM Technology Solutions","MACOM Technology Solutions","VARACTOR,LEAD-FREE,PLASTIC","3,000","2.15","0","1","Cut Tape (CT),Digi-Reel®,Tray","-","Active","2.3pF @ 4V, 1MHz","3.5","C0.5/C4","12 V","Single","450 @ 2V, 50MHz","-55°C ~ 125°C","Surface Mount","SC-76, SOD-323","SOD-323"
"-","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MAVR-001320-11410T.jpg","1465-MAVR-001320-11410TCT-ND,1465-MAVR-001320-11410TDKR-ND,1465-MAVR-001320-11410TTR-ND","MAVR-001320-11410T","MACOM Technology Solutions","MACOM Technology Solutions","DIODE,VARACTOR,PB-FREE MA4ST1320","3,000","2.15","0","1","Cut Tape (CT),Digi-Reel®,Tray","-","Active","17pF @ 4V, 1MHz","3.37","C0.5/C3","12 V","Single","-","-55°C ~ 125°C","Surface Mount","SC-76, SOD-323","SOD-323"
"https://cdn.macom.com/datasheets/MA4ST1200_Series.pdf","//media.digikey.com/Renders/MACom%20Technology%20Solutions/1465~SC70-3~~3.jpg","1465-MA4ST1241CK-1146TTR-ND,1465-MA4ST1241CK-1146TCT-ND,1465-MA4ST1241CK-1146TDKR-ND","MA4ST1241CK-1146T","MACOM Technology Solutions","MACOM Technology Solutions","DIODE,VARACTOR,SI PLASTIC PB-FRE","6,000","2.2","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MA4ST1200","Active","2.05pF @ 4V, 1MHz","3.46","C0.5/C4","12 V","Single","-","-55°C ~ 125°C","Surface Mount","SC-70, SOT-323","SC-70-3"
"-","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MADP-007448-0287FT.jpg","1465-MAVR-000250-0287FTCT-ND,1465-MAVR-000250-0287FTDKR-ND,1465-MAVR-000250-0287FTTR-ND","MAVR-000250-0287FT","MACOM Technology Solutions","MACOM Technology Solutions","VARCATOR,SOT23,CK,PLASTIC,T/R,LE","3,000","2.08","0","1","Cut Tape (CT),Digi-Reel®,Tray","-","Active","1.8pF @ 4V, 1MHz","3.5","C0.5/C4","12 V","Single","450 @ 2V, 50MHz","-55°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"-","//media.digikey.com/Renders/MACom%20Technology%20Solutions/1465~SC70-3~~3.jpg","1465-MAVR-001320-1146FTCT-ND,1465-MAVR-001320-1146FTDKR-ND,1465-MAVR-001320-1146FTTR-ND","MAVR-001320-1146FT","MACOM Technology Solutions","MACOM Technology Solutions","DIODE,VARACTOR,DUAL,PLASTIC","3,000","2.08","0","1","Cut Tape (CT),Digi-Reel®,Tray","-","Active","17pF @ 4V, 1MHz","3.37","C0.5/C3","12 V","1 Pair Common Cathode","-","-55°C ~ 125°C","Surface Mount","SC-70, SOT-323","SC-70-3"
"https://cdn.macom.com/datasheets/MAVR-0454xx%20Series.pdf","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MADP-007448-0287FT.jpg","1465-MAVR-045436-1146FTTR-ND,1465-MAVR-045436-1146FTCT-ND,1465-MAVR-045436-1146FTDKR-ND","MAVR-045436-1146FT","MACOM Technology Solutions","MACOM Technology Solutions","VARACTOR,ABRUPT,CK,PLASTIC","5,987","2.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MAVR-0454xx","Active","5.17pF @ 4V, 1MHz","4.5","C0/C30","30 V","Single","1800 @ 4V, 50MHz","-55°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"https://cdn.macom.com/datasheets/MAVR-0454xx%20Series.pdf","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MADP-007448-0287FT.jpg","1465-MAVR-045448-0287ATTR-ND,1465-MAVR-045448-0287ATCT-ND,1465-MAVR-045448-0287ATDKR-ND","MAVR-045448-0287AT","MACOM Technology Solutions","MACOM Technology Solutions","DIODE,VARACTOR,ABRUPT,SINGLE,PLA","5,255","2.32","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MAVR-0454xx","Active","36.3pF @ 4V, 1MHz","4.7","C0/C30","30 V","Single","750 @ 4V, 50MHz","-55°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"-","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MADP-007448-0287FT.jpg","1465-MAVR-000083-0287FTCT-ND,1465-MAVR-000083-0287FTDKR-ND,1465-MAVR-000083-0287FTTR-ND","MAVR-000083-0287FT","MACOM Technology Solutions","MACOM Technology Solutions","VARACTOR,HYPER-ABRUPT,DUAL,LEAD-","3,000","2.32","0","1","Cut Tape (CT),Digi-Reel®,Tray","-","Active","7.9pF @ 1V, 1MHz","7.8","C1/C8","12 V","Single","450 @ 4V, 50MHz","-65°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"-","//media.digikey.com/Photos/MACom Technology Solutions/MFG_MADP-007448-0287FT.jpg","1465-MAVR-045440-0287FTCT-ND,1465-MAVR-045440-0287FTDKR-ND,1465-MAVR-045440-0287FTTR-ND","MAVR-045440-0287FT","MACOM Technology Solutions","MACOM Technology Solutions","LEAD FREE VARACTOR,PLASTIC,SOT-2","3,000","3","0","1","Cut Tape (CT),Digi-Reel®,Tray","-","Active","11pF @ 4V, 1MHz","4.5","C0/C30","30 V","1 Pair Common Cathode","1300 @ 4V, 1MHz","-55°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"https://www.microsemi.com/document-portal/doc_download/8792-kvx2000-kvx3000-23-datasheet","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;SOT23-3;;3.jpg","150-KVX2001-23-0-ND","KVX2001-23-0","Microchip Technology","Microchip Technology","SI TVAR NON HERMETIC PLASTIC SMT","309","3.11","0","1","Bulk","-","Active","22pF @ 4V, 1MHz","-","-","22 V","Single","160 @ 4V, 50MHz","-55°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"-","-","150-MPV2100-206-ND","MPV2100-206","Microchip Technology","Microchip Technology","SI TVAR NON HERMETIC MMSM","254","3.83","0","1","Bulk","MPV","Active","1.5pF @ 4V, 1MHz","10","-","22 V","Single","1500 @ 4V, 50MHz","-55°C ~ 125°C","Surface Mount","0402 (1005 Metric)","0402"
"https://www.microsemi.com/document-portal/doc_download/8792-kvx2000-kvx3000-23-datasheet","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;SOT23-3;;3.jpg","150-KVX2122-23-0-ND","KVX2122-23-0","Microchip Technology","Microchip Technology","SI TVAR NON HERMETIC PLASTIC SMT","232","4.18","0","1","Bulk","-","Active","2.7pF @ 0V, 1MHz","-","-","22 V","Single","1000 @ 4V, 50MHz","-55°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"-","-","150-MPV1965-206TR-ND,150-MPV1965-206CT-ND,150-MPV1965-206DKR-ND","MPV1965-206","Microchip Technology","Microchip Technology","SI TVAR NON HERMETIC MMSM","231","Active","0","0","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","MPV","Active","3.8pF @ 1V, 1MHz","3.6","C1/C6","15 V","Single","1500 @ 4V, 50MHz","-55°C ~ 125°C","Surface Mount","0402 (1005 Metric)","0402"
"https://www.microsemi.com/document-portal/doc_download/8792-kvx2000-kvx3000-23-datasheet","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;SOT23-3;;3.jpg","150-KVX3901A-23-0-ND","KVX3901A-23-0","Microchip Technology","Microchip Technology","SI TVAR NON HERMETIC PLASTIC SMT","187","5.19","0","1","Bulk","-","Active","32pF @ 3V, 1MHz","-","-","27 V","Single","500 @ 4V, 50MHz","-55°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
"https://www.microsemi.com/document-portal/doc_download/8722-gcx1200-series-datasheet","//media.digikey.com/Renders/Microchip%20Tech%20Renders/150;SOT23-3;;3.jpg","150-GCX1204-23-0-ND","GCX1204-23-0","Microchip Technology","Microchip Technology","SI TVAR NON HERMETIC PLASTIC SMT","175","5.58","0","1","Bulk","GCX1204","Active","1.8pF @ 4V, 1MHz","3.5","C0/C30","30 V","Single","3000 @ 4V, 50MHz","-55°C ~ 125°C","Surface Mount","TO-236-3, SC-59, SOT-23-3","SOT-23"
